CasoPeorBurbujaNormal;CasoMedioBurbujaNormal;CasoMejorBurbujaNormal;CasoPeorSeleccionDirectaNormal;CasoMedioSeleccionDirectaNormal;CasoMejorSeleccionDirectaNormal;CasoPeorMezclaNormal;CasoMedioMezclaNormal;CasoMejorMezclaNormal;CasoPeorBurbujaVolatile;CasoMedioBurbujaVolatile;CasoMejorBurbujaVolatile;CasoPeorSeleccionDirectaVolatile;CasoMedioSeleccionDirectaVolatile;CasoMejorSeleccionDirectaVolatile;CasoPeorMezclaVolatile;CasoMedioMezclaVolatile;CasoMejorMezclaVolatile;
   20600;   58500;    4600;   32400;   12200;   10100;    5800;    5600;    2700;   40500;   28300;    4400;   17700;   12400;   11800;    5700;    6200;    4200;
   21000;   51000;    4700;   34400;   13700;   10300;    5900;    5700;    2600;   37200;   29300;    4400;   18000;   13900;   12000;    5800;    5400;    4500;
   39800;   38600;    5000;   33100;   12600;   10400;    6300;    5400;    2700;   42500;   30000;    4400;   18100;   12500;   12100;    6100;    5300;    5600;
   21900;   61300;    5100;   36100;   12700;   12000;    6500;    5400;    2600;   42300;   32200;    4600;   18400;   12700;   12400;    6800;    5500;    4200;
   22000;   59100;    4700;   35000;   14800;   11000;    6200;    5500;    2800;   40600;   34600;    4500;   18700;   14800;   12600;    6400;    8400;    4700;
   22400;   52200;    4900;   34200;   13500;   10900;    6200;    5800;    2800;   47300;   36700;    4400;   19200;   13200;   12800;    6300;    7900;    4500;
   22700;   58700;    5300;   35000;   14500;   11100;    6700;    5900;    2900;   42900;   37500;    4400;   19400;   13600;   12900;    6600;    7300;    4500;
   22900;   54200;    5200;   38600;   13300;   12500;    6800;    7600;    2800;   45300;   32200;    4600;   19300;   14500;   13200;    6300;    5800;    5900;
   23300;   55300;    5200;   38500;   13800;   11500;    6400;    5900;    3000;   44000;   86900;    4800;   20100;   13800;   13300;    6300;    7100;    4600;
   23600;   50400;    5200;   40700;   15500;   11600;    6500;    5700;    2800;   42100;   73200;    3200;   19900;   14100;   13600;    7000;    6200;    4900;
   24300;   51700;    5600;   30900;   14200;   11900;    7000;    6400;    3200;   44000;   53800;    3900;   20200;   15200;   13800;    6400;    7100;    6000;
   24400;   58500;    5400;   31800;   17000;   13500;    6500;    5900;    2900;   46100;   52300;    4000;   20900;   14400;   14000;    6800;    6300;    5000;
   24900;   54300;    5600;   30300;   14600;   12300;    6700;    5900;    3000;   42200;   54300;    4100;   20900;   15900;   14300;    6600;    5700;    5400;
   26000;   53400;    5300;   31500;   14800;   12500;    6700;    7000;    2900;   50900;   52300;    4100;   23900;   14500;   14400;    6900;    6200;    4900;
   25500;   51400;    5600;   33800;   16400;   12600;    7200;    7100;    3000;   51100;   53900;    3500;   22000;   14900;   14600;    7600;    6000;    5400;
   25700;   55500;    5800;   33300;   15100;   14600;    6900;    6400;    2900;   46700;   56000;    3500;   21500;   16500;   15100;   10000;    6000;    4700;
   26000;   66600;    5900;   31300;   17000;   13000;    6800;    6100;    3100;   48400;   55000;    3600;   22100;   15200;   15000;   10000;    5800;    4800;
   26300;   64300;    6200;   28800;   15600;   13200;    6700;    6100;    3000;   54200;   55900;    3500;   22100;   15800;   15300;    7800;    7900;    6300;
   26800;   62800;    5900;   29600;   17300;   13400;    6900;    6600;    3300;   52500;   56400;    3600;   22500;   15400;   15800;    6700;    6400;    5500;
   27000;   62400;    6100;   29800;   15600;   15100;    7800;    6000;    3000;   51500;   53000;    3600;   23300;   16600;   16000;    7100;    6700;    8600;
   27400;   83300;    6200;   31700;   17700;   14000;    9000;    7700;    3200;   53400;   56500;    3900;   23000;   17500;   16000;    7500;    6200;    5000;
   28200;   75700;    6300;   33800;   16500;   14200;    8100;    9100;    3300;   50000;   59100;    5800;   23200;   16700;   16100;    6900;    8000;    5600;
   28300;   68300;    6600;   34200;   18100;   15500;    7900;    8700;    3600;   49600;   63400;    5700;   24200;   18000;   16600;    7600;    6000;    4900;
   28500;   83400;    6700;   26000;   16400;   14500;    7400;   23100;    3300;   45700;   70100;    5800;   24500;   16700;   16600;    7600;    7100;    6300;
   29100;   88300;    6500;   24400;   18400;   14600;    7300;   18900;    3300;   47700;   59200;    5900;   25100;   19100;   16800;    7500;    7600;    6800;
   29200;   87300;    6800;   24800;   17500;   15900;    7400;   14200;    3200;   49000;   60100;    6000;   25400;   17400;   17200;    7300;    6900;    5200;
   31000;   93200;    6300;   24700;   18900;   15100;    8000;    7100;    3300;   53200;   58100;    5900;   25000;   17600;   17500;    7800;   10000;    5900;
   30800;   65700;    6600;   25500;   17300;   15300;    7400;    7000;    3800;   52400;   59900;    6100;   26100;   19300;   17800;    7800;    9400;    5000;
   32800;   61100;    6800;   25500;   19900;   16800;    8000;   13100;    3300;   57800;   59200;    6200;   25500;   17900;   70600;    7700;    9100;    5800;
   31600;   94000;    6800;   27300;   18500;   16000;    7500;    6300;    4600;   58800;   60500;    6300;   26500;   20500;   18200;    7500;    7900;    6100;
   31200;   80400;    7300;   35700;   20500;   16100;    7900;    7600;    3300;   53600;   61200;    6400;   27300;   18600;   33800;    7700;    7000;    6900;
   32500;   83000;    6900;   28700;   20700;   18000;    8500;    7100;    3400;   63100;   58900;    6700;   27100;   20100;   24400;    7400;    8700;    6000;
   32400;   85800;    7000;   27100;   19600;   16900;    7800;    6500;    3500;   61100;   59700;    6600;   27800;   19400;   23300;    7600;    8400;    6500;
   32600;   85900;    7400;   27100;   20400;   19500;    8300;    7300;    3400;   63100;   63700;    5600;   27900;   20700;   45000;    7700;    6400;    5200;
   32900;   83100;    7100;   27700;   20400;   16900;    8100;    8800;    3400;   60200;   62900;    4300;   30600;   19700;   19600;    8400;    6600;    5300;
   33900;   67200;    7400;   28300;   20200;   17100;    8400;    7100;    3400;   65900;   63600;    4300;   35700;   21300;   19600;    7900;    7400;    6100;
   34100;   61600;    7500;   28300;   23100;   18800;    8300;    7200;    3500;   62200;   64800;    4600;   28300;   21700;   19800;    8000;   19000;    7400;
   34700;   62300;    8000;   28800;   20800;   17600;    9000;    6900;    3600;   68300;   74100;    4500;   29200;   20200;   20200;    8600;    9400;    6200;
   34900;   62400;    7900;   28900;   20600;   18800;    8400;    8300;    3500;   62800;  131200;    4500;   28900;   21100;   20200;    8000;    8300;    5400;
   35100;   32900;    7300;   29500;   23600;   18200;    8100;    7800;    3600;   67900;   70100;    4600;   35300;   20700;   20300;    8000;    7400;    5300;
   36600;   30600;    7500;   29900;   22200;   18200;    9400;    9200;    3600;   70400;   67200;    4500;   29900;   22300;   22900;    8800;    6900;    5400;
   37200;   32700;    7900;   29800;   21600;   20500;    8400;    7700;    4100;   68800;   64200;    4600;   30100;   20600;   20700;    8400;    6700;    6300;
   36500;   31300;    7900;   32100;   23000;   18700;    8100;    7700;    3700;   72300;   64900;    4800;   31400;   22500;   21100;    8300;    7400;    7900;
   36800;   33300;    8000;   85100;   22600;   20400;    8200;    7600;    3600;   66600;   67100;    4800;   30700;   21600;   21400;    8600;    9000;    6300;
   37600;   31700;    7900;   59000;   22000;   19200;    8800;    8700;    3700;   70100;   33700;    4900;   31400;   23600;   26000;    8700;    7900;    6000;
